Mention_Type,Date,Title,Link,Snippet
Joint Mention,2026-03-12 11:19:25 UTC,Sarvam AI's Open Source Bet Faces Early Adoption Hurdles,https://www.linkedin.com/posts/ankush-das_sarvam-ais-open-source-bet-faces-early-adoption-activity-7437819534662787072-pCMI,"... Shayak Mazumder (CEO, Adya.ai) and Sudipta Biswas (Cofounder at Floworks) to get an opinion on it and to simply highlight what it could mean — and what ..."
Joint Mention,2026-03-12 08:04:50 UTC,Shayak Mazumder's Post,https://www.linkedin.com/posts/smhaaz_adya-is-world-12-let-that-sink-in-the-activity-7437770569955123200-_nz3,"Shayak Mazumder 2mo. ADYA AI Independence Week Launch. Shayak Mazumder 6mo. Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 11mo ...Read more"
Joint Mention,2026-03-12 05:04:40 UTC,Shayak Mazumder's Post,https://www.linkedin.com/posts/smhaaz_founder-roundtable-at-t-hub-gfs-workspace-activity-7437725226441875456-fZXL,Founder Roundtable at T-Hub (GFS Workspace) Adya is hosting a closed-door founder session to showcase our newly launched Adya AI ... Shayak Mazumder's Post.Read more
Joint Mention,2026-03-12 04:54:10 UTC,Praveen Dorna's Post,https://www.linkedin.com/posts/praveendorna_founder-roundtable-at-google-for-startups-activity-7437722585397669888-BwKV,"... Shayak Mazumder. ... Adya AI Platform — a system that enables companies to build enterprise AI applications, LLMs/SLMs, and agentic ...Read more"
Joint Mention,2026-03-10 12:50:06 UTC,KIT-Kalaignarkarunanidhi Institute of Technology's Post,https://www.linkedin.com/posts/kit-kalaignarkarunanidhi-institute-of-technology_kitcoimbatore-adyaai-artificialintelligence-activity-7437117582165356545-suLp,"Adya.ai Launch Lab Inaugurated at KIT – Empowering the Next Generation ... Shayak Mazumder, Founder & CEO of Adya.ai, a pioneering AI platform company ..."
Joint Mention,2026-03-10 11:20:07 UTC,Shayak Mazumder's Post,https://www.linkedin.com/posts/smhaaz_adya-is-hiring-founders-office-intern-activity-7437094938820886528-uRX5,"Shayak Mazumder 2mo · ADYA AI Independence Week Launch. Shayak Mazumder 6mo · Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 11mo ...Read more"
Joint Mention,2026-03-07 11:45:06 UTC,#launchlab | Shayak Mazumder,https://www.linkedin.com/posts/smhaaz_launchlab-activity-7436014061680615424-4gon,"Shayak Mazumder 2mo. ADYA AI Independence Week Launch. Shayak Mazumder 6mo. Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 11mo ...Read more"
Joint Mention,2026-03-06 07:15:37 UTC,Boeing BUILD 2026: Apply Now for Mentorship & Funding,https://www.linkedin.com/posts/iitm-incubation-cell_boeing-build-2026-activity-7435583853529968640-8Zvg,Register here: www.adya.ai/launchlab Shayak Mazumder #AdyaLaunchLab #CampusBuilders #StudentLeaders #AIBuilders #StartupIndia #AdyaAI. No alternative text ...Read more
Joint Mention,2026-02-27 05:51:15 UTC,Red Hat at India AI Impact Summit 2026,https://www.linkedin.com/posts/red-hat_indiaaiimpactsummit2026-indiaaiimpactexpo2026-activity-7433025910146199552-TVqM,Business & Strategy @ Adya.ai | Agentic AI & Intelligent Growth Systems for Startups ... Shayak Mazumder Amit Srivastava #IndiaAIImpactSummit2026 ...Read more
Joint Mention,2026-02-23 10:09:51 UTC,Tech Mahindra BPS Leadership Conference: AI-Driven ...,https://www.linkedin.com/posts/adyadotai_adyaai-techmahindra-inspire2026-activity-7431641437143900163-Cxu-,... Adya.ai is enabling organizations to move from AI ambition to AI in production. Adya Shayak Mazumder Amit Srivastava #AdyaAI #TechMahindra #INSPIRE2026 ...
